"","FPKM.brain.tablemaker"
"1",0
"2",0
"3",853.961
"4",76.4348
"5",258.586
"6",527.017
"7",5437.94
"8",6413.2
"9",713.324
"10",1476.07
"11",1961.16
"12",407.151
"13",1894.28
"14",0
"15",3.02999
"16",15.4357
"17",4.71347
"18",14.8428
"19",0.805551
"20",0
"21",4.12028
"22",0
"23",11.4335
"24",7.14525e-07
"25",27.3182
"26",2.94011e-05
"27",0
"28",0
"29",0
"30",0
"31",0
"32",14.5626
"33",23.3293
"34",23.5863
"35",0
"36",1.78518
"37",0
"38",1.6602
"39",0
"40",9.89985
"41",13.9755
"42",0
"43",0
"44",0
"45",1.53189
"46",0
"47",5.48865
"48",0
"49",0
"50",1.83862
"51",2.31568
"52",2.32643
"53",9.28963
"54",2.2373
"55",2.5185
"56",1.0919
"57",187.203
"58",2.51956
"59",5.28683
"60",7.66534
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",13.0786
"68",0
"69",0
"70",0
"71",0
"72",2.55758
"73",0
"74",18.3953
"75",0
"76",0
"77",12.4164
"78",6.39048
"79",0
"80",2.83176
"81",1.84255
"82",6.99729
"83",0
"84",0
"85",14.1912
"86",0
"87",35.6018
"88",2.67464e-06
"89",1.66715
"90",5.24507
"91",0
"92",1.43324
"93",3.01167
"94",7.75789
"95",0
"96",2.27694
"97",0
"98",0
"99",0
"100",62.9028
"101",0.606985
"102",0.61598
"103",0
"104",0
"105",0
"106",9.02907
"107",0
"108",1.12807
"109",5.33164
"110",2876.41
"111",0
"112",0
"113",1.8795
"114",3.02999
"115",0
"116",0
"117",30.2118
"118",1.67345
"119",70.237
"120",9.74992
"121",3.39721
"122",8.90222
"123",1.86804
"124",1.42453
"125",2.77298
"126",0
"127",0
"128",6.49142
"129",20.1359
"130",6.7808
"131",0
"132",3.08425
"133",0
"134",7.73046
"135",0
"136",0
"137",8.59674
"138",3.69449e-05
"139",0
"140",0
"141",4.87913
"142",0
"143",1.50186
"144",0
"145",0
"146",0
"147",0.957078
"148",0.977693
"149",0
"150",1.56992
"151",0
"152",29.3278
"153",0
"154",1.65675
"155",16.7693
"156",0.871642
"157",0
"158",0
"159",0
"160",0
"161",5.01403
"162",11.0316
"163",0
